1,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3,False,,[],700448,en,Star Wars: The Clone Wars - The Nightsisters Trilogy,"A home video compilation film of the Star Wars: The Clone Wars episodes ""Nightsisters,"" ""Monster,"" and ""Witches of the Mist,"" cut together. Originally shown at select screenings in 2010 (mainly at conventions), and it was published as an iTunes digital download on December 5, 2011.",1.209,/oWSdEKsNIJTxGjs6OIebsRLjJrX.jpg,2011-12-05,Star Wars: The Clone Wars - The Nightsisters Trilogy,True,9.3,3
4,False,,[],426860,en,Pro Wrestling USA: Star Wars 1985,"February 24, 1985 in East Rutherford, NJ",0.881,,,Pro Wrestling USA: Star Wars 1985,False,10.0,1
5,False,,[99],485994,en,The Force Is with Them: The Legacy of Star Wars,"The Force Is with Them: The Legacy of Star Wars is a Video Documentary included in the 2004 DVD of the Star Wars Original Trilogy. It explained the impact of ""Star Wars"" on various directors and actors.",1.522,/59NPEeoYphSnAhgQvf31PWgaK1D.jpg,2004-09-21,The Force Is with Them: The Legacy of Star Wars,True,6.5,2
6,False,,[],778592,en,WCCW Star Wars (June 1983),Kevin Von Erich tangles with NWA World's Heavyweight Champion Harley Race with the 'Ten Pounds of Gold' up for grabs!,0.6,,1983-06-17,WCCW Star Wars (June 1983),True,0.0,0
7,False,,"[878, 28]",896393,en,Star Wars: The Old Republic,A Star Wars film set during the era of The Old Republic.,0.6,,,Star Wars: The Old Republic,False,0.0,0
8,False,,"[878, 28]",896396,en,Star Wars: The High Republic,A Star Wars film set during the era of The High Republic.,0.6,,,Star Wars: The High Republic,False,0.0,0
9,False,,[878],368729,es,Star Wars: The Holo Xperience,"The Rebels come into the forest on the planet Endor. A soldier stays behind to guard the ship, but soon a pair of Imperial Scout Troopers arrive to investigate, and the mission is in danger of being discovered.",0.6,,2013-10-24,Star Wars: The Holo Xperience,False,0.0,0
10,False,,[],778215,en,WCCW Star Wars (August 1982),It's Kerry Von Erich vs. Ric Flair with the NWA World's Heavyweight Championship on the line in a grueling best 2 of 3 falls contest!,0.6,,1982-08-15,WCCW Star Wars (August 1982),True,0.0,0
11,False,,[99],701034,fr,Star Wars : La Révolution Visuelle,,0.6,,2020-05-04,Star Wars : La Révolution Visuelle,True,3.0,1
12,False,,[],778961,en,WCCW Labor Day Star Wars '86,It's Roode vs. Adams with all the gold on the line in The Lone Star State,0.6,,1986-09-01,WCCW Labor Day Star Wars '86,True,0.0,0
13,False,,[99],294822,en,Hollywood Rivals: Star Wars vs. Star Trek,"Star Wars vs. Star Trek. George Lucas, Liam Neeson, Samuel L. Jackson, Natalie Portman, Mark Hamill, Carrie Fisher and Harrison Ford share insights and the special effects creator compares the worlds of Star Trek and Star Wars.",0.827,/tEacV6cPxe9nznaMkoZp3A6rAUQ.jpg,2001-10-19,Hollywood Rivals: Star Wars vs. Star Trek,False,7.5,1
